iter	RMSE
0	1.26443495
1	1.230555776
2	1.198450621
3	1.166738667
4	1.13645173
5	1.106638222
6	1.078411553
7	1.050241769
8	1.023356999
9	0.9972356121
10	0.9716804755
11	0.9475508298
12	0.9238370326
13	0.9006442459
14	0.8783939136
15	0.8565177977
16	0.8355473436
17	0.815248948
18	0.7954931
19	0.7769650006
20	0.7584384581
21	0.7407287979
22	0.7234965426
23	0.7065133378
24	0.6905354526
25	0.6751916547
26	0.6602307372
27	0.645251777
28	0.6310229509
29	0.6170423893
30	0.6037844949
31	0.591122205
32	0.5783596774
33	0.5663084801
34	0.554471804
35	0.5430900476
36	0.5323390371
37	0.5219517691
38	0.5118383885
39	0.5019218273
40	0.4923340116
41	0.4830209618
42	0.4739676723
43	0.4654108844
44	0.456551027
45	0.4480646025
46	0.4400285977
47	0.4317122281
48	0.4236555544
49	0.4158287047
50	0.4085052512
51	0.4012460519
52	0.3942814297
53	0.3876292729
54	0.3809543325
55	0.3745874984
56	0.3684620973
57	0.3625874908
58	0.3569367935
59	0.351684695
60	0.3462287874
61	0.3410258862
62	0.3359305325
63	0.3310214636
64	0.3261947215
65	0.3216114358
66	0.3169677621
67	0.3126489818
68	0.3084276029
69	0.3045281214
70	0.3005875606
71	0.2968023059
72	0.2930393739
73	0.2892482995
74	0.2855728573
75	0.2821485216
76	0.2787991402
77	0.2756996252
78	0.2725888215
79	0.2696100759
80	0.2668126047
81	0.2641397175
82	0.2613034006
83	0.2585807402
84	0.2560522834
85	0.2535360988
86	0.2512311358
87	0.2487107959
88	0.2463990221
89	0.2441311492
90	0.2420427818
91	0.2399162955
92	0.2377249273
93	0.235746212
94	0.2337861281
95	0.2318305574
96	0.2299374437
97	0.228119472
98	0.2264278618
99	0.2247149537
100	0.2230515498
101	0.2213942601
102	0.2199144492
103	0.2183412661
104	0.2168526868
105	0.2155088967
106	0.2141066488
107	0.2128252774
108	0.2115286285
109	0.2103461935
110	0.2090931777
111	0.2079829128
112	0.2067881376
113	0.205664778
114	0.2045598962
115	0.2034906758
116	0.2025846644
117	0.2017415642
118	0.2008650457
119	0.2000027208
120	0.1989502256
121	0.1979798393
122	0.197095848
123	0.1963287841
124	0.1955435063
125	0.194684114
126	0.1938330071
127	0.1929756337
128	0.1922846662
129	0.1916125686
130	0.1909093097
131	0.1901189995
132	0.1894566855
133	0.1889302237
134	0.1881727734
135	0.187492395
136	0.1868514248
137	0.1861147328
138	0.1854968215
139	0.1849387314
140	0.1842654334
141	0.1837391178
142	0.1831327059
143	0.1825448508
144	0.181814818
145	0.1812778658
146	0.1807270688
147	0.1801455867
148	0.1796963369
149	0.1791951708
150	0.1783041434
151	0.1777651458
152	0.1772870618
153	0.1768077111
154	0.1764184435
155	0.1760202413
156	0.1756479455
157	0.175138677
158	0.1747398714
159	0.1742369461
160	0.1738721275
161	0.1731789016
162	0.172793754
163	0.1722210045
164	0.1718492803
165	0.1714168294
166	0.1710447917
167	0.1706378882
168	0.1702590969
169	0.1698861487
170	0.1695737668
