iter	Passed	Remaining
0	264	396715
1	374	280211
2	471	235392
3	565	211561
4	660	197469
5	775	193050
6	860	183544
7	971	181196
8	1071	177503
9	1166	173810
10	1271	172110
11	1361	168854
12	1462	167336
13	1563	165924
14	1663	164722
15	1763	163579
16	1850	161385
17	1974	162548
18	2073	161639
19	2171	160713
20	2271	159975
21	2383	160144
22	2499	160529
23	2584	158936
24	2686	158504
25	2778	157543
26	2882	157268
27	2992	157335
28	3125	158542
29	3233	158456
30	3357	159108
31	3474	159390
32	3597	159917
33	3717	160272
34	3834	160498
35	3946	160493
36	4064	160700
37	4166	160315
38	4265	159775
39	4376	159742
40	4510	160525
41	4610	160051
42	4702	159346
43	4811	159222
44	4925	159247
45	5041	159357
46	5171	159891
47	5260	159125
48	5382	159402
49	5506	159702
50	5628	159921
51	5741	159870
52	5862	160062
53	5987	160342
54	6112	160594
55	6232	160720
56	6346	160674
57	6451	160408
58	6557	160157
59	6664	159948
60	6770	159726
61	6871	159383
62	6989	159419
63	7105	159434
64	7205	159067
65	7340	159481
66	7467	159722
67	7587	159787
68	7704	159779
69	7815	159659
70	7938	159767
71	8075	160169
72	8180	159902
73	8297	159902
74	8424	160074
75	8531	159855
76	8636	159613
77	8729	159152
78	8839	159006
79	8952	158898
80	9062	158757
81	9161	158424
82	9254	157995
83	9348	157585
84	9462	157525
85	9576	157460
86	9668	157027
87	9772	156808
88	9881	156659
89	10024	157044
90	10143	157052
91	10248	156848
92	10383	157092
93	10481	156774
94	10591	156646
95	10711	156651
96	10826	156592
97	10946	156602
98	11039	156221
99	11139	155956
100	11259	155960
101	11376	155923
102	11490	155846
103	11611	155866
104	11721	155734
105	11847	155807
106	11981	155986
107	12105	156023
108	12217	155910
109	12330	155807
110	12445	155735
111	12579	155901
112	12679	155632
113	12805	155682
114	12935	155789
115	13066	155892
116	13188	155894
117	13322	156032
118	13450	156099
119	13541	155730
120	13636	155406
121	13774	155584
122	13879	155386
123	14010	155474
124	14135	155486
125	14245	155343
126	14353	155173
127	14451	154906
128	14554	154686
129	14683	154736
130	14790	154569
131	14907	154491
132	15029	154476
133	15138	154322
134	15250	154195
135	15369	154146
136	15480	154015
137	15575	153721
138	15690	153627
139	15778	153277
140	15885	153113
141	15999	153012
142	16107	152851
143	16222	152759
144	16349	152780
145	16454	152600
146	16543	152265
147	16633	151951
148	16722	151622
149	16827	151446
150	16936	151307
151	17027	151010
152	17137	150880
153	17262	150879
154	17374	150766
155	17480	150602
156	17592	150484
157	17704	150374
158	17832	150395
159	17967	150474
160	18086	150421
161	18175	150116
162	18286	149992
163	18395	149854
164	18513	149789
165	18627	149693
166	18751	149674
167	18864	149566
168	18975	149446
169	19078	149263
170	19214	149337
171	19304	149049
172	19402	148824
173	19527	148811
174	19646	148751
175	19741	148513
176	19845	148334
177	19977	148371
178	20074	148150
179	20167	147896
180	20284	147820
181	20409	147799
182	20538	147810
183	20661	147771
184	20776	147683
185	20894	147612
186	21018	147576
187	21129	147454
188	21247	147383
189	21381	147423
190	21494	147308
191	21595	147120
192	21709	147018
193	21797	146741
194	21908	146617
195	22011	146446
196	22134	146405
197	22239	146239
198	22365	146217
199	22468	146044
200	22567	145845
201	22663	145627
202	22770	145484
203	22891	145425
204	23014	145382
205	23134	145317
206	23233	145126
207	23333	144937
208	23438	144779
209	23554	144690
210	23656	144518
211	23773	144434
212	23860	144173
213	23967	144026
214	24071	143867
215	24180	143741
216	24285	143584
217	24402	143506
218	24496	143290
219	24587	143052
220	24682	142848
221	24807	142810
222	24910	142648
223	25014	142493
224	25132	142418
225	25223	142191
226	25355	142193
227	25461	142047
228	25569	141915
229	25690	141855
230	25798	141721
231	25927	141709
232	26035	141574
233	26135	141397
234	26235	141225
235	26341	141082
236	26429	140845
237	26529	140671
238	26629	140501
239	26732	140348
240	26841	140219
241	26935	140017
242	27041	139883
243	27143	139720
244	27250	139587
245	27352	139433
246	27465	139330
247	27574	139204
248	27667	139002
249	27766	138834
250	27884	138753
251	28000	138667
252	28128	138642
253	28268	138670
254	28379	138558
255	28479	138393
256	28576	138210
257	28687	138100
258	28790	137947
259	28903	137845
260	29010	137715
261	29141	137697
262	29281	137721
263	29409	137688
264	29519	137571
265	29624	137428
266	29752	137396
267	29845	137199
268	29941	137017
269	30073	137001
270	30208	136997
271	30305	136820
272	30394	136609
273	30520	136562
274	30642	136497
275	30744	136347
276	30855	136233
277	30959	136088
278	31057	135916
279	31175	135836
280	31272	135662
281	31383	135551
282	31487	135406
283	31602	135313
284	31719	135224
285	31810	135029
286	31910	134868
287	32025	134772
288	32141	134681
289	32249	134560
290	32349	134400
291	32453	134261
292	32578	134205
293	32691	134100
294	32802	133988
295	32922	133915
296	33022	133758
297	33130	133633
298	33255	133579
299	33362	133449
300	33483	133376
301	33608	133322
302	33704	133150
303	33793	132949
304	33929	132937
305	34035	132805
306	34144	132686
307	34234	132491
308	34339	132358
309	34453	132257
310	34556	132113
311	34661	131979
312	34780	131898
313	34885	131763
314	35010	131706
315	35122	131599
316	35248	131540
317	35359	131430
318	35476	131339
319	35563	131139
320	35686	131071
321	35792	130940
322	35931	130932
323	36035	130797
324	36139	130656
325	36250	130544
326	36361	130434
327	36480	130351
328	36576	130184
329	36680	130047
330	36786	129919
331	36917	129879
332	37059	129875
333	37183	129808
334	37270	129612
335	37380	129495
336	37482	129352
337	37600	129266
338	37726	129206
339	37842	129109
340	37934	128933
341	38048	128831
342	38166	128742
343	38268	128600
344	38384	128505
345	38514	128456
346	38627	128350
347	38764	128324
348	38870	128194
349	38978	128073
350	39094	127975
351	39210	127878
352	39309	127727
353	39426	127635
354	39544	127546
355	39639	127381
356	39757	127291
357	39875	127199
358	39979	127065
359	40080	126921
360	40199	126834
361	40305	126707
362	40443	126678
363	40544	126533
364	40664	126451
