year_month,district,side,tier,secondary_price_per_m2_try,secondary_price_per_m2_usd,new_construction_price_per_m2_try,rental_per_m2_monthly_try,n_listings_secondary,n_listings_new_construction,n_listings_rental,try_usd_rate,cbrt_repo_rate_pct,avg_mortgage_rate_pct,inflation_yoy_pct
2020-01,Nişantaşı,European,luxury,7140,1152,8059,30,135,20,23,6.2,10.75,15.75,11
2020-02,Nişantaşı,European,luxury,7230,1166,8004,30.4,144,15,62,6.2,10.75,15.75,11
2020-03,Nişantaşı,European,luxury,7491,1208,8343,31.5,30,26,66,6.2,10.75,15.75,11
2020-04,Nişantaşı,European,luxury,8691,1242,9527,36.5,144,58,56,7,8.25,13.25,11
2020-05,Nişantaşı,European,luxury,8771,1253,9656,36.8,94,14,119,7,8.25,13.25,11
2020-06,Nişantaşı,European,luxury,9163,1309,10612,38.5,101,61,41,7,8.25,13.25,11
2020-07,Nişantaşı,European,luxury,8431,1204,9090,35.4,87,18,22,7,8.25,13.25,14
2020-08,Nişantaşı,European,luxury,8741,1249,9954,36.7,102,26,70,7,8.25,13.25,14
2020-09,Nişantaşı,European,luxury,8863,1266,9916,37.2,79,28,109,7,8.25,13.25,14
2020-10,Nişantaşı,European,luxury,11610,1548,12702,48.8,105,27,47,7.5,10.25,15.25,14
2020-11,Nişantaşı,European,luxury,11522,1536,12632,48.4,48,53,93,7.5,10.25,15.25,14
2020-12,Nişantaşı,European,luxury,11676,1557,12785,49,43,72,77,7.5,10.25,15.25,14
2021-01,Nişantaşı,European,luxury,15729,2097,16924,66.1,35,14,83,7.5,17,22,19.5
2021-02,Nişantaşı,European,luxury,15638,2085,17186,65.7,61,29,105,7.5,17,22,19.5
2021-03,Nişantaşı,European,luxury,15324,2043,16490,64.4,127,64,58,7.5,17,22,19.5
2021-04,Nişantaşı,European,luxury,16295,1917,17942,68.4,179,43,66,8.5,19,24,19.5
2021-05,Nişantaşı,European,luxury,15672,1844,16565,65.8,174,18,110,8.5,19,24,19.5
2021-06,Nişantaşı,European,luxury,15996,1882,17933,67.2,146,79,51,8.5,19,24,19.5
2021-07,Nişantaşı,European,luxury,23561,2772,26260,99,137,20,92,8.5,19,24,19.5
2021-08,Nişantaşı,European,luxury,23909,2813,25791,100.4,153,68,38,8.5,19,24,19.5
2021-09,Nişantaşı,European,luxury,24109,2836,26969,101.3,110,50,27,8.5,19,24,19.5
2021-10,Nişantaşı,European,luxury,24464,2224,27081,102.8,136,55,89,11,14,19,54
2021-11,Nişantaşı,European,luxury,23086,2099,25743,97,172,10,56,11,14,19,54
2021-12,Nişantaşı,European,luxury,23300,2118,26205,97.9,152,46,109,11,14,19,54
2022-01,Nişantaşı,European,luxury,47620,3284,50770,200,78,43,41,14.5,14,19,54
2022-02,Nişantaşı,European,luxury,45432,3133,51902,190.8,119,42,47,14.5,14,19,54
2022-03,Nişantaşı,European,luxury,46600,3214,51419,195.7,53,13,118,14.5,14,19,54
2022-04,Nişantaşı,European,luxury,46980,2764,53339,197.3,150,32,114,17,14,19,80
2022-05,Nişantaşı,European,luxury,46663,2745,50712,196,95,15,77,17,14,19,80
