station_name,line,lat,lon,year_opened,to_levent_km,to_sultanahmet_km
Yenikapı M1A,M1A,40.9999,28.951,1989,10.55,2.63
Aksaray,M1A,41.0119,28.9504,1989,9.44,2.53
Topkapı-Ulubatlı,M1A,41.0164,28.9305,1989,10.11,4.26
Bayrampaşa,M1A,41.041,28.912,1989,9.69,6.76
Sağmalcılar,M1A,41.0438,28.898,1989,10.61,7.93
Kocatepe,M1A,41.046,28.88,1989,11.93,9.38
Otogar,M1A,41.0398,28.893,1989,11.18,8.1
Esenler M1A,M1A,41.05,28.88,1994,11.78,9.58
Menderes,M1A,41.003,28.855,1994,15.97,10.52
Üçyüzlü,M1A,40.992,28.842,1994,17.56,11.74
Bağcılar M1A,M1A,41.037,28.845,1994,15.03,11.77
Vezneciler,M2,41.014,28.961,2014,8.77,1.72
Haliç,M2,41.026,28.972,2014,7.15,2.05
Şişhane,M2,41.029,28.975,2009,6.74,2.31
Taksim,M2,41.037,28.985,2000,5.56,3.18
Osmanbey,M2,41.048,28.987,2000,4.41,4.42
Şişli-Mecidiyeköy,M2,41.066,28.987,2000,2.88,6.41
Gayrettepe,M2,41.071,29.005,2000,1.44,7.24
Levent M2,M2,41.082,29.014,2000,0.0,8.64
4. Levent,M2,41.09,29.009,2000,0.98,9.37
Sanayi Mahallesi,M2,41.097,29.001,2009,1.99,9.98
Seyrantepe,M2,41.108,29.009,2010,2.92,11.31
İTÜ-Ayazağa,M2,41.108,29.022,2009,2.97,11.6
Atatürk Oto Sanayi,M2,41.118,29.025,2009,4.11,12.73
Darüşşafaka,M2,41.124,29.028,2010,4.82,13.44
Hacıosman,M2,41.132,29.048,2010,6.25,14.85
Kadıköy M4,M4,40.992,29.027,2012,10.07,4.34
Ayrılık Çeşmesi,M4,40.997,29.034,2012,9.6,4.7
Acıbadem M4,M4,40.999,29.054,2012,9.82,6.28
Ünalan,M4,41.008,29.083,2012,10.06,8.63
Göztepe M4,M4,40.976,29.058,2012,12.35,7.47
Yenisahra,M4,40.993,29.108,2012,12.65,10.86
Kozyatağı M4,M4,40.981,29.093,2012,13.04,9.95
Bostancı M4,M4,40.953,29.095,2012,15.87,11.45
Küçükyalı,M4,40.943,29.119,2012,17.79,13.75
Maltepe M4,M4,40.929,29.144,2012,20.21,16.35
Huzurevi,M4,40.917,29.162,2012,22.16,18.35
Gülsuyu,M4,40.905,29.181,2012,24.16,20.42
Esenkent,M4,40.899,29.19,2012,25.15,21.42
Hastane-Adliye,M4,40.891,29.185,2012,25.63,21.61
Soğanlık,M4,40.88,29.198,2012,27.26,23.22
Kartal M4,M4,40.891,29.185,2012,25.63,21.61
Yakacık-Adnan Kahveci,M4,40.88,29.22,2012,28.35,24.7
Pendik M4,M4,40.878,29.251,2016,30.17,26.99
Tavşantepe,M4,40.895,29.264,2016,29.54,26.97
Sabiha Gökçen Havalimanı,M4,40.898,29.309,2023,32.12,30.23
Halkalı,Marmaray,40.996,28.777,2013,22.06,17.11
Mustafa Kemal,Marmaray,40.996,28.803,2019,20.12,14.94
Küçükçekmece M,Marmaray,40.993,28.771,2019,22.66,17.64
Florya M,Marmaray,40.975,28.791,2019,22.17,16.31
Yeşilköy M,Marmaray,40.962,28.829,2019,20.47,13.71
Yenikapı Marmaray,Marmaray,40.9999,28.951,2013,10.55,2.63
Sirkeci,Marmaray,41.014,28.976,2013,8.21,0.7
Üsküdar Marmaray,Marmaray,41.022,29.015,2013,6.67,3.28
Ayrılık Çeşmesi M,Marmaray,40.997,29.034,2013,9.6,4.7
Söğütlüçeşme,Marmaray,40.989,29.041,2013,10.59,5.55
Bostancı M,Marmaray,40.953,29.095,2019,15.87,11.45
Maltepe M,Marmaray,40.929,29.144,2019,20.21,16.35
Kartal M,Marmaray,40.891,29.185,2019,25.63,21.61
Pendik M,Marmaray,40.878,29.251,2019,30.17,26.99
Tuzla M,Marmaray,40.829,29.3,2019,36.99,33.48
Gebze,Marmaray,40.803,29.438,2019,47.23,44.75
Beylikdüzü Sondurak,Metrobus,41.001,28.642,2012,32.47,28.39
Avcılar Metrobüs,Metrobus,41.03,28.722,2008,25.16,21.79
Şirinevler Metrobüs,Metrobus,41.005,28.841,2008,16.85,11.69
Cevizlibağ,Metrobus,41.004,28.923,2007,11.55,4.83
Zincirlikuyu,Metrobus,41.068,29.008,2008,1.64,7.0
15 Temmuz Şehitler,Metrobus,41.044,29.033,2008,4.52,5.93
Altunizade,Metrobus,41.025,29.049,2008,6.98,6.05
Söğütlüçeşme MB,Metrobus,40.989,29.041,2008,10.59,5.55
Mecidiyeköy M7,M7,41.067,28.989,2020,2.68,6.54
Çağlayan,M7,41.07,28.965,2020,4.32,6.95
Kağıthane M7,M7,41.086,28.973,2020,3.46,8.63
Mahmutbey,M7,41.051,28.852,2022,14.01,11.74
Üsküdar M5,M5,41.022,29.015,2017,6.67,3.28
Fıstıkağacı,M5,41.029,29.024,2017,5.95,4.32
Bağlarbaşı,M5,41.025,29.044,2017,6.82,5.65
Altunizade M5,M5,41.025,29.049,2017,6.98,6.05
Kısıklı,M5,41.026,29.07,2017,7.8,7.78
Bulgurlu,M5,41.032,29.083,2017,8.02,9.01
Ümraniye M5,M5,41.028,29.11,2017,10.04,11.1
Çakmak,M5,41.047,29.137,2017,11.02,13.83
Yamanevler,M5,41.057,29.139,2018,10.84,14.37
Çarşı,M5,41.063,29.147,2018,11.35,15.24
Çekmeköy M5,M5,41.041,29.183,2018,14.88,17.39
